,YEAR,Unnamed: 4,Unnamed: 5,Unnamed: 6
3,2011.0,-1.94,-1.41,-1.3
4,2012.0,-2.19,-4.24,8.31
5,2013.0,2.89,6.72,-3.98
6,2014.0,-2.32,-1.75,-1.42
7,2015.0,2.75,-0.65,-2.27
8,2016.0,-2.58,7.33,1.78
9,2017.0,2.85,5.95,2.36
10,2018.0,0.68,-4.58,-3.26
11,2019.0,10.04,7.99,-8.37
12,2020.0,6.61,-3.45,-34.07
13,2011.0,-0.91,-8.45,7.78
14,2012.0,-3.03,2.99,2.04
15,2013.0,1.11,6.56,-4.04
16,2014.0,-8.04,-3.81,1.62
17,2015.0,2.78,-1.39,-2.31
18,2016.0,-1.31,-1.67,0.14
19,2017.0,2.12,12.31,-0.18
20,2018.0,-3.69,-5.92,-0.08
21,2019.0,-8.74,4.43,-0.27
22,2020.0,-5.68,3.72,-42.19
