|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
İnşaat Faaliyetleri Endeksi (Son 3 Aylık Dönemde)-Mevsim Etkilerinden Arındırılmış-Aylık Değişim Oranı (%)|Ölçüm bazında|2011||-1.94|-1.41|-1.3|-0.78|-0.42|4.13|-2.81|-1.96|2.97|-3.89|4.54|
||2012|-4.25|-2.19|-4.24|8.31|1.14|1.58|-5.35|0.02|-0.18|-0.98|-4.06|-2.51|
||2013|1.24|2.89|6.72|-3.98|-2.69|-1.36|2.59|0.29|1.69|-3.96|3.59|-1.79|
||2014|1.67|-2.32|-1.75|-1.42|-1.13|0.74|-0.54|-0.03|1.12|1.13|2.4|-3.67|
||2015|1.13|2.75|-0.65|-2.27|2.51|-1.86|-1.67|1.64|-1.93|0.06|1.01|2.93|
||2016|-0.91|-2.58|7.33|1.78|-10.87|-1.94|9.08|-5.38|5.9|-5.58|-3.13|-4.26|
||2017|-0.99|2.85|5.95|2.36|6.07|-0.79|-2.51|5.02|-8.0|1.77|-0.04|-0.2|
||2018|2.07|0.68|-4.58|-3.26|-5.66|-5.17|1.6|-6.81|-18.34|1.73|-4.14|-0.04|
||2019|-8.57|10.04|7.99|-8.37|-3.7|-3.53|6.6|5.11|7.52|8.46|-0.54|11.17|
||2020|5.24|6.61|-3.45|-34.07|||||||||
İnşaat Sektörü Güven Endeksi-Mevsim Etkilerinden Arındırılmış-Aylık Değişim Oranı (%)|Ölçüm bazında|2011||-0.91|-8.45|7.78|0.35|1.08|2.57|-5.64|1.49|0.86|-2.15|1.05|
||2012|-2.15|-3.03|2.99|2.04|-0.25|-2.18|-1.33|-0.65|1.1|-2.5|-3.42|-2.16|
||2013|0.63|1.11|6.56|-4.04|0.29|-1.24|-0.21|-0.02|-1.44|3.45|-1.86|-1.31|
||2014|6.53|-8.04|-3.81|1.62|1.06|0.71|-1.2|3.41|2.42|-2.77|0.5|0.27|
||2015|-0.49|2.78|-1.39|-2.31|2.96|1.56|-2.56|-0.86|-1.71|-0.46|5.02|0.68|
||2016|-1.4|-1.31|-1.67|0.14|-2.9|2.23|2.49|-4.24|3.22|-0.82|-6.85|0.53|
||2017|-1.73|2.12|12.31|-0.18|0.77|0.42|-1.41|3.32|-5.46|0.89|-2.13|-1.03|
||2018|6.68|-3.69|-5.92|-0.08|-2.06|-2.44|2.44|-10.75|-16.75|2.34|-3.54|-2.14|
||2019|2.47|-8.74|4.43|-0.27|-7.69|1.32|3.81|6.01|8.35|8.32|-1.94|7.85|
||2020|14.59|-5.68|3.72|-42.19|||||||||
|||||||||||||||
